"id","type","description","url","file","ok","skipped"
"1","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gill79s1.txt","force_displacement_data\001_gill79s1.txt","true","true"
"2","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gill79s2.txt","force_displacement_data\002_gill79s2.txt","true","true"
"3","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gill79s3.txt","force_displacement_data\003_gill79s3.txt","true","true"
"4","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gill79s4.txt","force_displacement_data\004_gill79s4.txt","true","true"
"5","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ang81u3.txt","force_displacement_data\005_ang81u3.txt","true","true"
"6","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ang81u4.txt","force_displacement_data\006_ang81u4.txt","true","true"
"7","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/soes86u1.txt","force_displacement_data\007_soes86u1.txt","true","true"
"8","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/soes86u2.txt","force_displacement_data\008_soes86u2.txt","true","true"
"9","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/soes86u3.txt","force_displacement_data\009_soes86u3.txt","true","true"
"10","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/soes86u4.txt","force_displacement_data\010_soes86u4.txt","true","true"
"11","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/zahn86u7.txt","force_displacement_data\011_zahn86u7.txt","true","true"
"12","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/zahn86u8.txt","force_displacement_data\012_zahn86u8.txt","true","true"
"13","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wat89u5.txt","force_displacement_data\013_wat89u5.txt","true","true"
"14","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wat89u6.txt","force_displacement_data\014_wat89u6.txt","true","true"
"15","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wat89u7.txt","force_displacement_data\015_wat89u7.txt","true","true"
"16","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wat89u8.txt","force_displacement_data\016_wat89u8.txt","true","true"
"17","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wat89u9.txt","force_displacement_data\017_wat89u9.txt","true","true"
"18","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/tana90u1.txt","force_displacement_data\018_tana90u1.txt","true","true"
"19","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/tana90u2.txt","force_displacement_data\019_tana90u2.txt","true","true"
"20","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/tana90u3.txt","force_displacement_data\020_tana90u3.txt","true","true"
"21","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/tana90u4.txt","force_displacement_data\021_tana90u4.txt","true","true"
