"id","type","description","url"
"1","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gill79s1.txt"
"2","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gill79s2.txt"
"3","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gill79s3.txt"
"4","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gill79s4.txt"
"5","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ang81u3.txt"
"6","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ang81u4.txt"
"7","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/soes86u1.txt"
"8","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/soes86u2.txt"
"9","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/soes86u3.txt"
"10","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/soes86u4.txt"
"11","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/zahn86u7.txt"
"12","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/zahn86u8.txt"
"13","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wat89u5.txt"
"14","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wat89u6.txt"
"15","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wat89u7.txt"
"16","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wat89u8.txt"
"17","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wat89u9.txt"
"18","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/tana90u1.txt"
"19","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/tana90u2.txt"
"20","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/tana90u3.txt"
"21","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/tana90u4.txt"
"22","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/tana90u5.txt"
"23","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/tana90u6.txt"
"24","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/tana90u7.txt"
"25","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/tana90u8.txt"
"26","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/tana90u9.txt"
"27","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ara82102.txt"
"28","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/nag1063.txt"
"29","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/nag1932.txt"
"30","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ohno84l1.txt"
"31","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ohno84l2.txt"
"32","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ohno84l3.txt"
"33","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/oh2d16rs.txt"
"34","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/oh4d13rs.txt"
"35","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/zho806.txt"
